pizza_id,Pizza_type_id,Size,Price
bbq_ckn_s,bbq_ckn,Small,$12.75
bbq_ckn_m,bbq_ckn,Medium,$16.75
bbq_ckn_l,bbq_ckn,Large,$20.75
cali_ckn_s,cali_ckn,Small,$12.75
cali_ckn_m,cali_ckn,Medium,$16.75
cali_ckn_l,cali_ckn,Large,$20.75
ckn_alfredo_s,ckn_alfredo,Small,$12.75
ckn_alfredo_m,ckn_alfredo,Medium,$16.75
ckn_alfredo_l,ckn_alfredo,Large,$20.75
ckn_pesto_s,ckn_pesto,Small,$12.75
ckn_pesto_m,ckn_pesto,Medium,$16.75
ckn_pesto_l,ckn_pesto,Large,$20.75
southw_ckn_s,southw_ckn,Small,$12.75
southw_ckn_m,southw_ckn,Medium,$16.75
southw_ckn_l,southw_ckn,Large,$20.75
thai_ckn_s,thai_ckn,Small,$12.75
thai_ckn_m,thai_ckn,Medium,$16.75
thai_ckn_l,thai_ckn,Large,$20.75
big_meat_s,big_meat,Small,$12.00
big_meat_m,big_meat,Medium,$16.00
big_meat_l,big_meat,Large,$20.50
classic_dlx_s,classic_dlx,Small,$12.00
classic_dlx_m,classic_dlx,Medium,$16.00
classic_dlx_l,classic_dlx,Large,$20.50
hawaiian_s,hawaiian,Small,$10.50
hawaiian_m,hawaiian,Medium,$13.25
hawaiian_l,hawaiian,Large,$16.50
ital_cpcllo_s,ital_cpcllo,Small,$12.00
ital_cpcllo_m,ital_cpcllo,Medium,$16.00
ital_cpcllo_l,ital_cpcllo,Large,$20.50
napolitana_s,napolitana,Small,$12.00
napolitana_m,napolitana,Medium,$16.00
napolitana_l,napolitana,Large,$20.50
pep_msh_pep_s,pep_msh_pep,Small,$11.00
pep_msh_pep_m,pep_msh_pep,Medium,$14.50
pep_msh_pep_l,pep_msh_pep,Large,$17.50
pepperoni_s,pepperoni,Small,$9.75
pepperoni_m,pepperoni,Medium,$12.50
pepperoni_l,pepperoni,Large,$15.25
the_greek_s,the_greek,Small,$12.00
the_greek_m,the_greek,Medium,$16.00
the_greek_l,the_greek,Large,$20.50
the_greek_xl,the_greek,XL,$25.50
the_greek_xxl,the_greek,XXL,$35.95
brie_carre_s,brie_carre,Small,$23.65
calabrese_s,calabrese,Small,$12.25
calabrese_m,calabrese,Medium,$16.25
calabrese_l,calabrese,Large,$20.25
ital_supr_s,ital_supr,Small,$12.50
ital_supr_m,ital_supr,Medium,$16.50
ital_supr_l,ital_supr,Large,$20.75
peppr_salami_s,peppr_salami,Small,$12.50
peppr_salami_m,peppr_salami,Medium,$16.50
peppr_salami_l,peppr_salami,Large,$20.75
prsc_argla_s,prsc_argla,Small,$12.50
prsc_argla_m,prsc_argla,Medium,$16.50
prsc_argla_l,prsc_argla,Large,$20.75
sicilian_s,sicilian,Small,$12.25
sicilian_m,sicilian,Medium,$16.25
sicilian_l,sicilian,Large,$20.25
soppressata_s,soppressata,Small,$12.50
soppressata_m,soppressata,Medium,$16.50
soppressata_l,soppressata,Large,$20.75
spicy_ital_s,spicy_ital,Small,$12.50
spicy_ital_m,spicy_ital,Medium,$16.50
spicy_ital_l,spicy_ital,Large,$20.75
spinach_supr_s,spinach_supr,Small,$12.50
spinach_supr_m,spinach_supr,Medium,$16.50
spinach_supr_l,spinach_supr,Large,$20.75
five_cheese_s,five_cheese,Small,$12.50
five_cheese_m,five_cheese,Medium,$15.50
five_cheese_l,five_cheese,Large,$18.50
four_cheese_s,four_cheese,Small,$11.75
four_cheese_m,four_cheese,Medium,$14.75
four_cheese_l,four_cheese,Large,$17.95
green_garden_s,green_garden,Small,$12.00
green_garden_m,green_garden,Medium,$16.00
green_garden_l,green_garden,Large,$20.25
ital_veggie_s,ital_veggie,Small,$12.75
ital_veggie_m,ital_veggie,Medium,$16.75
ital_veggie_l,ital_veggie,Large,$21.00
mediterraneo_s,mediterraneo,Small,$12.00
mediterraneo_m,mediterraneo,Medium,$16.00
mediterraneo_l,mediterraneo,Large,$20.25
mexicana_s,mexicana,Small,$12.00
mexicana_m,mexicana,Medium,$16.00
mexicana_l,mexicana,Large,$20.25
spin_pesto_s,spin_pesto,Small,$12.50
spin_pesto_m,spin_pesto,Medium,$16.50
spin_pesto_l,spin_pesto,Large,$20.75
spinach_fet_s,spinach_fet,Small,$12.00
spinach_fet_m,spinach_fet,Medium,$16.00
spinach_fet_l,spinach_fet,Large,$20.25
veggie_veg_s,veggie_veg,Small,$12.00
veggie_veg_m,veggie_veg,Medium,$16.00
veggie_veg_l,veggie_veg,Large,$20.25
